01, 101;Республика Адыгея (Адыгея);;;;
02, 102, 702;Республика Башкортостан;;;;
03;Республика Бурятия;;;;
04;Республика Алтай;;;;
05;Республика Дагестан;;;;
06;Республика Ингушетия;;;;
07;Кабардино-Балкарская Республика;;;;
08;Республика Калмыкия;;;;
09;Карачаево-Черкесская Республика;;;;
10;Республика Карелия;;;;
11;Республика Коми;;;;
12;Республика Марий Эл;;;;
13, 113;Республика Мордовия;;;;
14;Республика Саха (Якутия);;;;
15;Республика Северная Осетия — Алания;;;;
16, 116, 716;Республика Татарстан (Татарстан);;;;
616;Республика Татарстан (Татарстан) Новые номера после 2020г;;;;
17;Республика Тыва;;;;
18;Удмуртская Республика;;;;
19;Республика Хакасия;;;;
21, 121;Чувашская Республика — Чувашия;;;;
222;Алтайский край. Новые номера после 2020г;;;;
22;Алтайский край;;;;
23, 93, 123, 193;Краснодарский край;;;;
24, 124;Красноярский край;;;;
25, 125;Приморский край;;;;
26, 126;Ставропольский край;;;;
27;Хабаровский край;;;;
28;Амурская область;;;;
29;Архангельская область;;;;
330;Астраханская область.;;;;
30;Астраханская область;;;;
31;Белгородская область;;;;
32;Брянская область;;;;
33;Владимирская область;;;;
333;Владимирская область.  Новые номера;;;;
34, 134;Волгоградская область;;;;
35;Вологодская область;;;;
36, 136;Воронежская область;;;;
37;Ивановская область;;;;
38, 138;Иркутская область;;;;
39;Калининградская область;;;;
40;Калужская область;;;;
41;Камчатский край;;;;
42, 142;Кемеровская область;;;;
43;Кировская область;;;;
444;Костромская область.  Новые номера;;;;
44;Костромская область;;;;
45;Курганская область;;;;
46;Курская область;;;;
47, 147;Ленинградская область;;;;
48;Липецкая область;;;;
49;Магаданская область;;;;
50, 90, 150, 190, 750, 790;Московская область;;;;
51;Мурманская область;;;;
52, 152;Нижегородская область;;;;
53;Новгородская область;;;;
54, 154;Новосибирская область;;;;
55;Омская область;;;;
56, 156;Оренбургская область;;;;
57;Орловская область;;;;
58;Пензенская область;;;;
59, 159;Пермский край;;;;
660;Псковская область.  Новые номера;;;;
661;Ростовская область.  Новые номера;;;;
662;Рязанская область.  Новые номера;;;;
663;Самарская область.  Новые номера;;;;
664;Саратовская область.  Новые номера;;;;
665;Сахалинская область.  Новые номера;;;;
666;Свердловская область.  Новые номера после 2020г.;;;;
667;Смоленская область.  Новые номера;;;;
668;Тамбовская область.  Новые номера;;;;
669;Тверская область.  Новые номера;;;;
60;Псковская область;;;;
61, 161, 761;Ростовская область;;;;
62;Рязанская область;;;;
63, 163, 763;Самарская область;;;;
64, 164;Саратовская область;;;;
65;Сахалинская область;;;;
66, 96, 196;Свердловская область;;;;
67;Смоленская область;;;;
68;Тамбовская область;;;;
69;Тверская область;;;;
70;Томская область;;;;
71;Тульская область;;;;
72;Тюменская область;;;;
73, 173;Ульяновская область;;;;
74, 174, 774;Челябинская область;;;;
75;Забайкальский край;;;;
76;Ярославская область;;;;
497, 999;г. Москва. Новые номера после 2020г.;;;;
77, 97, 99, 177, 197, 199, 777, 797, 799;г. Москва;;;;
278, 878;г. Санкт-Петербург. Новые номера после 2020г.;;;;
78, 98, 178, 198;г. Санкт-Петербург;;;;
79;Еврейская автономная область;;;;
82;Республика Крым или устаревшее: Самарская область (отменён), Ульяновская область. Так - же С 2014 года, до 2007 года номера выдавались в Корякском автономном округе;;;;
83;Ненецкий автономный округ;;;;
86, 186;Ханты-Мансийский автономный округ — Югра;;;;
87;Чукотский автономный округ;;;;
89;Ямало-Ненецкий автономный округ;;;;
92;г. Севастополь;;;;
995;Чеченская Республика;;;;
95;Чеченская Республика;;;;
80;Забайкальский край (Устаревший код региона, действовал до 2020г.);;;;
81;Пермский край  (Устаревший код региона, действовал до 2020г.);;;;
84;Красноярский край  (Устаревший код региона, действовал до 2020г.);;;;
85;Иркутская область  (Устаревший код региона, действовал до 2020г.);;;;
88;Красноярский край  (Устаревший код региона, действовал до 2020г.);;;;
91;Калининградская область  (Устаревший код региона);;;;
94;Территории, находящиеся за пределами Российской Федерации и обслуживаемые органами внутренних дел Российской Федерации (Устаревший код региона, Байконур);;;;
